topic,rank,keyword,weight
0,1,the,0.08652497140369254
0,2,to,0.07243220086862266
0,3,and,0.07004917277083772
0,4,of,0.05807763521164578
0,5,in,0.046042296824834725
0,6,for,0.03316975102231499
0,7,is,0.033085752584199005
0,8,fraud,0.02822195116009475
0,9,scams,0.026703649642545492
0,10,with,0.02657162858235515
1,1,fraud,0.0769991189957646
1,2,and,0.07565011467845231
1,3,to,0.071266606499
1,4,the,0.07096999627122455
1,5,of,0.056690672383893276
1,6,in,0.04271049625380447
1,7,that,0.03360351189860924
1,8,can,0.032884138108521734
1,9,is,0.031484758868885875
1,10,for,0.03083112042335119
2,1,the,0.08404247314090019
2,2,and,0.07222776858645792
2,3,to,0.06748003045509234
2,4,of,0.05299762270188146
2,5,authentication,0.052023739963781644
2,6,is,0.04230809068351214
2,7,secure,0.03921274301968667
2,8,for,0.03860623831285483
2,9,data,0.03798032311697715
2,10,in,0.03678923825400787
